"UNIQUEID","wgs_xF","wgs_yF","PERS106","exp5nrm","exp3nrm","rough_1k","prad_sw_di","etpt_5","mind_yr_av","prec_winte","tave_sprin"
"Z0402030501783728",-110.113012,36.008025,1,46,74,35.27675629,-5731,94,-1635.666667,18.33333333,89.66666667
"Z0402030501785057",-110.665494,36.551795,1,0,2,9.405800819,-5862,95,-1635.666667,18,96
"Z0402030501787478",-110.66406,36.867309,1,-194,-192,69.82874298,-5973,94,-1572.583333,20.66666667,94.66666667
"Z0402030501788984",-109.91919,33.88758,1,-12,39,25.05806351,-5690,94,-1494.916667,43.66666667,88.66666667
"Z0402030502580131",-113.033596,35.227781,1,9,-1,14.96367359,-5785,93,-1593.166667,32.33333333,83
"Z0402030600180521",-109.949584,35.781258,1,11,2,9.523304939,-5794,94,-1556.5,22.33333333,83.33333333
"Z0402030600181651",-109.135562,35.095239,1,-19,-12,11.12282181,-5796,94,-1506.833333,24.33333333,84.66666667
"Z0402030600191018",-109.763446,33.480137,1,-34,-37,37.49475098,-5564,95,-1654.666667,39.33333333,102.6666667
"Z0402030600581016",-111.153826,34.820961,1,-35,-34,6.939413071,-5777,93,-1406.416667,38.66666667,79.66666667
"Z0402030600587917",-111.953289,36.818705,1,-11,-10,7.434420586,-5972,93,-1495.25,25,83.33333333
"Z0402030600589999",-112.98644,35.544122,1,33,41,34.56104279,-5643,93,-1553.333333,32.33333333,74.66666667
